,name,notes,physicalAddress,postalAddress,dn,aliases,region,ntgGeographicDefinition,enrolment,enrolmentDataSource,description,religion,hasImage,preSchool,faftSchool,primarySchool,middleSchool,seniorSchool,telephoneNumber,businessCategories,ntgGazettedRegion,directorate,schoolElectorate,facsimileTelephoneNumber,councilMail,remoteDefinition,long,lat,uri,mail,preSchoolInfo,schoolManagement
140,Middle Point School,,"{'description': '615 Anzac Pde', 'state': 'NT', 'postCode': 'Middle Point', 'displayAddress': '615 Anzac Pde, Middle Point, NT'}","{'description': 'PO Box 96', 'state': 'NT', 'postCode': 'Humpty Doo, 0836', 'displayAddress': 'PO Box 96, Humpty Doo, 0836, NT'}","ou=Middle Point School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Outer Regional,25,2021 Census - 1st week August,not available,Government,True,False,False,True,False,False,(08) 8988 1688,['Small School'],,North,Goyder,(08) 8988 8023,tba,Urban,131.31486,-12.57599,http://www.middlepointschool.nt.edu.au/,middle.pt@education.nt.gov.au,,"[{'firstName': 'Christine', 'lastName': 'Boog', 'position': 'Administration Manager', 'email': 'christine.boog1@education.nt.gov.au', 'phone': '(08) 899 93548'}, {'firstName': 'Stacey', 'lastName': 'Marsh', 'position': 'Principal', 'email': 'Stacey.marsh@education.nt.gov.au', 'phone': '(08) 8988 1688'}]"
141,Milikapiti School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Milikapiti (Snake Bay)', 'displayAddress': 'N/A, Milikapiti (Snake Bay), NT'}","{'description': 'PMB 96', 'state': 'NT', 'postCode': 'via Winnellie, 0822', 'displayAddress': 'PMB 96, via Winnellie, 0822, NT'}","ou=Milikapiti School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['Snake Bay'],Top End,Very Remote,60,2021 Census - 1st week August,not available,Government,True,True,True,True,True,False,(08) 8978 3960,['Small School'],,North,Arafura,(08) 8978 3925,tba,Remote Category 2,130.6711,-11.4194,n/a,chris.armstrong1@education.nt.gov.au,,"[{'firstName': 'Chris', 'lastName': 'Armstrong', 'position': 'Principal', 'email': 'chris.armstrong1@education.nt.gov.au', 'phone': '(08) 8978 3960'}]"
142,Milingimbi School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Milingimbi, 0822', 'displayAddress': 'N/A, Milingimbi, 0822, NT'}","{'description': 'PMB 54, Milingimbi', 'state': 'NT', 'postCode': 'via WINNELLIE, 0822', 'displayAddress': 'PMB 54, Milingimbi, via WINNELLIE, 0822, NT'}","ou=Milingimbi School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],East Arnhem,Very Remote,275,2021 Census - 1st week August,N/A,Government,True,True,True,True,True,True,(08) 8987 9902,['Remote School'],,North,Mulka,(08) 8987 9926,tba,Remote Category 3,134.9201,-12.1021,n/a,adam.dicks1@education.nt.gov.au,,"[{'firstName': 'Adam', 'lastName': 'Dicks', 'position': 'Principal', 'email': 'adam.dicks1@education.nt.gov.au', 'phone': '(08) 8987 9902'}, {'firstName': 'Toni', 'lastName': 'Griffin', 'position': 'Business Manager', 'email': 'toni.griffin@education.nt.gov.au', 'phone': '(08) 894 49498'}]"
143,Milkwood Steiner,,"{'description': '107 Boulter Road, Berrimah NT 0828', 'state': 'NT', 'postCode': 'Marrara', 'displayAddress': '107 Boulter Road, Berrimah NT 0828, Marrara, NT'}","{'description': 'PO Box 319', 'state': 'NT', 'postCode': 'Karama, 0812', 'displayAddress': 'PO Box 319, Karama, 0812, NT'}","ou=Milkwood Steiner,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,Urban,92,2018 Census,not available,Independent,False,True,False,True,False,False,08 8947 0608,['Primary School'],,Darwin,Karama,08 8947 1669,,,130.922305,-12.414473,http://www.milkwood.nt.edu.au/,info@milkwood.nt.edu.au,,"[{'firstName': 'Netanela', 'lastName': 'Mizrahi', 'position': 'Principal', 'email': 'principal@milkwood.nt.edu.au', 'phone': '(08) 8947 0608'}]"
144,Millner Pre School,,"{'description': '41 Sabine Rd', 'state': 'NT', 'postCode': 'Millner', 'displayAddress': '41 Sabine Rd, Millner, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Millner Pre School,ou=Millner Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 792 30333,['Preschool'],,,Johnston,,,,,,,,,[]
145,Millner Primary School,,"{'description': '41 Sabine Rd', 'state': 'NT', 'postCode': 'Millner, 0810', 'displayAddress': '41 Sabine Rd, Millner, 0810, NT'}","{'description': '41 Sabine Rd', 'state': 'NT', 'postCode': 'MILLNER, 0810', 'displayAddress': '41 Sabine Rd, MILLNER, 0810, NT'}","ou=Millner Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,Outer Regional,177,2021 Census - 1st week August,not available,Government,True,True,False,True,False,False,(08) 792 30333,['Primary School'],,North,Johnston,,tba,Urban,130.85947,-12.390722,http://www.millnerprimary.nt.edu.au,admin.millnerps@education.nt.gov.au,,"[{'firstName': 'Jessica', 'lastName': 'Goveas', 'position': 'Principal', 'email': 'jessica.goveas@education.nt.gov.au', 'phone': '(08) 792 30333'}, {'firstName': 'Megan', 'lastName': 'Moss', 'position': 'Adminstration Manager', 'email': 'megan.moss@education.nt.gov.au', 'phone': '(08) 792 30333'}]"
146,Milyakburra School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Milyakburra (Bickerton Island)', 'displayAddress': 'N/A, Milyakburra (Bickerton Island), NT'}","{'description': 'PMB 5', 'state': 'NT', 'postCode': 'Bickerton Island, via Winnellie, 0822', 'displayAddress': 'PMB 5, Bickerton Island, via Winnellie, 0822, NT'}","ou=Milyakburra School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['Bickerton Island'],East Arnhem,Very Remote,19,2021 Census - 1st week August,not available,Government,True,True,False,True,True,True,(08) 8987 6084,['Small School'],,North,Arnhem,,alessa.fremmer@education.nt.gov.au,Remote Category 3,136.1956,-13.7818,n/a,leah.carroll@education.nt.gov.au,,"[{'firstName': 'Leah', 'lastName': 'Carroll', 'position': 'Principal', 'email': 'leah.carroll@education.nt.gov.au', 'phone': '(08) 8987 6084'}]"
147,Mimik-Ga Centre,"Mimik-ga Centre - Early Intervention for Learning Hub encompasses a Positive Learning Centre, (PLC), Families as First Teachers program (FaFT) and two Communication Autism classes (CommAut). The NTG Department of Education Hearing, Vision, Teaching & Allied Health and Transition from School teams are located at the Mimik-ga Centre. ","{'description': '4 Henbury Ave', 'state': 'NT', 'postCode': 'Wanguri, 0810', 'displayAddress': '4 Henbury Ave, Wanguri, 0810, NT'}","{'description': 'PO Box 40519', 'state': 'NT', 'postCode': 'Casuarina, 0811', 'displayAddress': 'PO Box 40519, Casuarina, 0811, NT'}","ou=Mimik-Ga Centre,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['Early Intervention Learning Hub'],Darwin,Outer Regional,,2021 Census - 1st week August,"Mimik-ga Centre - Early Intervention for Learning Hub encompasses a Positive Learning Centre, (PLC), Families as First Teachers program (FaFT) and two Communication Autism classes (CommAut). The NTG Department of Education Hearing, Vision, Teaching & Allied Health and Transition from School teams are located at the Mimik-ga Centre. ",Government,True,True,True,True,False,False,(08) 898 37900,['Specialist School'],,North,Wanguri,(08) 8945 2193,n/a,Urban,130.8836896,-12.3689445,n/a,admin.mimik-ga@education.nt.gov.au,,"[{'firstName': 'Mark', 'lastName': 'Mangohig', 'position': 'Principal', 'email': 'mark.mangohig@education.nt.gov.au', 'phone': '(08) 898 37900'}]"
148,Minyerri Pre School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Minyerri (Hodgson Downs)', 'displayAddress': 'N/A, Minyerri (Hodgson Downs), NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Minyerri Pre School,ou=Minyerri School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Big Rivers,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 8975 9972,['Preschool'],,,Arnhem,(08) 8975 9893,,,,,,,,[]
149,Minyerri School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Minyerri (Hodgson Downs)', 'displayAddress': 'N/A, Minyerri (Hodgson Downs), NT'}","{'description': 'PMB 40', 'state': 'NT', 'postCode': 'KATHERINE, 0851', 'displayAddress': 'PMB 40, KATHERINE, 0851, NT'}","ou=Minyerri School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au","['Hodgson Downs', 'Miniyeri', 'Miniyerri', 'Minyeri']",Big Rivers,Very Remote,179,2021 Census - 1st week August,not available,Government,True,True,True,True,True,True,(08) 8975 9972,['Remote School'],,North,Arnhem,(08) 8975 9893,tba,Remote Category 3,134.08281,-15.221225,n/a,david.panjer@education.nt.gov.au,,"[{'firstName': 'David', 'lastName': 'Panjer', 'position': 'Principal', 'email': 'david.panjer@education.nt.gov.au', 'phone': '(08) 8975 9972'}]"
150,Moil Pre School,,"{'description': 'Moil Crescent', 'state': 'NT', 'postCode': 'Moil', 'displayAddress': 'Moil Crescent, Moil, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Moil Pre School,ou=Moil Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 898 37535,['Preschool'],,,Johnston,(08) 8920 6869,,,,,,,,[]
151,Moil Primary School,,"{'description': '37 Lanyon Tce', 'state': 'NT', 'postCode': 'Moil, 0810', 'displayAddress': '37 Lanyon Tce, Moil, 0810, NT'}","{'description': '37 Lanyon Tce', 'state': 'NT', 'postCode': 'MOIL, 0810', 'displayAddress': '37 Lanyon Tce, MOIL, 0810, NT'}","ou=Moil Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,Outer Regional,160,2021 Census - 1st week August,not available,Government,True,False,False,False,False,False,(08) 898 37530,['Primary School'],,North,Johnston,(08) 8920 6869,moil.schoolcouncil@ntschools.net,Urban,130.88067,-12.38794,http://www.moilprimary.nt.edu.au,admin.moilsch@education.nt.gov.au,,"[{'firstName': 'Cindi', 'lastName': 'Bowyer', 'position': 'Principal', 'email': 'elizabeth.bowyer@education.nt.gov.au', 'phone': '(08) 898 37530'}]"
152,Mother Teresa Catholic Primary School,opening Jan 2018,"{'description': 'Ginger St', 'state': 'NT', 'postCode': 'Zuccoli', 'displayAddress': 'Ginger St, Zuccoli, NT'}","{'description': 'PO Box 1125', 'state': None, 'postCode': 'Palmerston, 0830', 'displayAddress': 'PO Box 1125, Palmerston, 0830, '}","ou=Mother Teresa Catholic Primary School,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,,46,2018 Census,opening Jan 2018,Catholic,False,False,False,True,False,False,(08) 7969 5600,[],,,Spillett,,,,131.0067,-12.513147,,principal.motherteresa@nt.catholic.edu.au,,"[{'firstName': 'Reuben', 'lastName': 'Johnson', 'position': 'Principal', 'email': 'principal.motherteresa@nt.catholic.edu.au', 'phone': '(08) 7969 5600'}]"
153,Moulden Pre School,,"{'description': '103 Bonson Tce', 'state': 'NT', 'postCode': 'Moulden', 'displayAddress': '103 Bonson Tce, Moulden, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Moulden Pre School,ou=Moulden Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 8930 5965,['Preschool'],,,Drysdale,(08) 8932 3214,,,,,,,,[]
154,Moulden Primary School,,"{'description': '103 Bonson Tce', 'state': 'NT', 'postCode': 'Moulden, 0830', 'displayAddress': '103 Bonson Tce, Moulden, 0830, NT'}","{'description': 'PO Box 80', 'state': 'NT', 'postCode': 'PALMERSTON, 0831', 'displayAddress': 'PO Box 80, PALMERSTON, 0831, NT'}","ou=Moulden Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Outer Regional,267,2021 Census - 1st week August,not available,Government,True,True,False,True,False,False,(08) 8930 5900,['Primary School'],,North,Drysdale,(08) 8932 3214,tba,Urban,130.97113,-12.5065,not available,moulden.primary@education.nt.gov.au,,"[{'firstName': 'Ali', 'lastName': 'Brady', 'position': 'Principal', 'email': 'Ali.brady@education.nt.gov.au', 'phone': '(08) 8930 5900'}]"
155,Mount Allan School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Yuelamu', 'displayAddress': 'N/A, Yuelamu, NT'}","{'description': 'PMB  6', 'state': 'NT', 'postCode': 'Mount Allan School via Alice Springs, 0872', 'displayAddress': 'PMB  6, Mount Allan School via Alice Springs, 0872, NT'}","ou=Mount Allan School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Central,Very Remote,53,2021 Census - 1st week August,N/A,Government,False,True,False,True,True,True,(08) 8956 8860,['Small School'],,Central Australia,Gwoja,(08) 8956 8846,tba,Remote Category 3,132.2081,-22.2566,n/a,dowreen.lata@education.nt.gov.au,,"[{'firstName': 'Dowreen', 'lastName': 'Lata', 'position': 'Principal', 'email': 'dowreen.lata@education.nt.gov.au', 'phone': '(08) 8956 8860'}, {'firstName': 'Therese', 'lastName': 'Townsend', 'position': 'Administration Manager', 'email': 'therese.townsend@education.nt.gov.au', 'phone': '(08) 895 11637'}]"
156,Mulga Bore School,,"{'description': 'n/a', 'state': 'NT', 'postCode': 'Mulga Bore Community', 'displayAddress': 'n/a, Mulga Bore Community, NT'}","{'description': 'PMB 18', 'state': 'NT', 'postCode': 'via Alice Springs, 0872', 'displayAddress': 'PMB 18, via Alice Springs, 0872, NT'}","ou=Mulga Bore School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Central,Very Remote,20,2021 Census - 1st week August,n/a,Government,False,True,False,True,True,True,(08) 8956 9824,['Small School'],,Central Australia,Namatjira,(08) 8956 9185,n/a,Remote Category 3,134.2118,-22.452122,n/a,sundayt.taite@education.nt.gov.au,,"[{'firstName': 'Sunday', 'lastName': 'Taite', 'position': 'Principal', 'email': 'sundayt.taite@education.nt.gov.au', 'phone': '(08) 8956 9712'}]"
157,Murray Downs School,,"{'description': 'Outstation', 'state': 'NT', 'postCode': 'Murray Downs(Imangara)', 'displayAddress': 'Outstation, Murray Downs(Imangara), NT'}","{'description': 'PMB 48', 'state': 'NT', 'postCode': 'Alice Springs, 0872', 'displayAddress': 'PMB 48, Alice Springs, 0872, NT'}","ou=Murray Downs School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au","['Imangara', 'Imangara Mungarai', 'Imangarra', 'Murry Downs']",Barkly,Very Remote,21,2021 Census - 1st week August,not available,Government,True,True,False,True,True,False,(08) 8964 1951,['Small School'],,Central Australia,Barkly,(08) 8964 1993,n/a,Remote Category 3,134.67685,-21.0477,n/a,mitchell.valentine@education.nt.gov.au,,"[{'firstName': 'Omar', 'lastName': 'Khoyam', 'position': 'Administration Manager', 'email': 'omar.khoyam@education.nt.gov.au', 'phone': '(08) 896 32065'}, {'firstName': 'Mitchell', 'lastName': 'Valentine', 'position': 'Principal', 'email': 'mitchell.valentine@education.nt.gov.au', 'phone': '(08) 8964 1951'}]"
158,Murrupurtiyanuwu Catholic Primary School,,"{'description': 'Kerinauia Highway', 'state': 'NT', 'postCode': 'Nguiu', 'displayAddress': 'Kerinauia Highway, Nguiu, NT'}","{'description': 'PO Box 45', 'state': 'NT', 'postCode': 'Wurrumiyanga, Bathurst Island, via Winnellie, 0822', 'displayAddress': 'PO Box 45, Wurrumiyanga, Bathurst Island, via Winnellie, 0822, NT'}","ou=Murrupurtiyanuwu Catholic Primary School,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Very Remote,214,2018 Census,n/a,Catholic,False,True,False,True,False,False,(08) 8978 3986,['School'],,Darwin,Arafura,(08) 8978 3922,,,130.638203,-11.758671,http://www.mcsnt.catholic.edu.au/,admin.mcs@nt.catholic.edu.au,,"[{'firstName': 'Berkley', 'lastName': 'Muldoon', 'position': 'Principal', 'email': 'berkley.muldoon@nt.catholic.edu.au', 'phone': '(08) 8978 3986'}]"
159,Mutitjulu School,,"{'description': 'Mutitjulu', 'state': 'NT', 'postCode': 'Ayers Rock', 'displayAddress': 'Mutitjulu, Ayers Rock, NT'}","{'description': 'PO Box 121', 'state': 'NT', 'postCode': 'Yulara, 0872', 'displayAddress': 'PO Box 121, Yulara, 0872, NT'}","ou=Mutitjulu School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Central,Very Remote,37,2021 Census - 1st week August,not available,Government,True,False,False,True,True,False,(08) 8956 2547,['Small School'],,Central Australia,Gwoja,(08) 8956 2176,tba,Remote Category 1,131.064,-25.3481,n/a,mutitjulu.school@education.nt.gov.au,,"[{'firstName': 'Rowan', 'lastName': 'Churches', 'position': 'Administration Manager', 'email': 'rowan.churches@education.nt.gov.au', 'phone': '(08) 895 11656'}, {'firstName': 'Trish', 'lastName': 'Noy', 'position': 'Principal', 'email': 'trish.noy@education.nt.gov.au', 'phone': '(08) 8956 2547'}]"
160,Nakara Pre School,,"{'description': '35 Nakara Tce', 'state': 'NT', 'postCode': 'Nakara', 'displayAddress': '35 Nakara Tce, Nakara, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Nakara Pre School,ou=Nakara Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 8927 9823,['Preschool'],,,Casuarina,(08) 8927 7994,,,,,,,,[]
161,Nakara Primary School,,"{'description': '35 Nakara Tce', 'state': 'NT', 'postCode': 'Nakara, 0810', 'displayAddress': '35 Nakara Tce, Nakara, 0810, NT'}","{'description': '35 Nakara Tce', 'state': 'NT', 'postCode': 'Nakara, 0810', 'displayAddress': '35 Nakara Tce, Nakara, 0810, NT'}","ou=Nakara Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,Outer Regional,557,2021 Census - 1st week August,not available,Government,True,True,False,True,False,False,(08) 8927 9823,['Primary School'],,North,Casuarina,(08) 8927 7994,tba,Urban,130.87776,-12.37014,https://www.nakaraprimary.nt.edu.au,nakara.primary@education.nt.gov.au,,"[{'firstName': 'Liza', 'lastName': 'Parr', 'position': 'Principal', 'email': 'liza.parr@education.nt.gov.au', 'phone': '(08) 8927 9823'}, {'firstName': 'Lorraine', 'lastName': 'Warnock', 'position': 'Business Manager', 'email': 'lorraine.warnock@education.nt.gov.au', 'phone': '(08) 8927 9823'}]"
162,Nathalie Gorey Pre School,,"{'description': '80 Spearwood Rd', 'state': 'NT', 'postCode': 'Alice Springs', 'displayAddress': '80 Spearwood Rd, Alice Springs, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Nathalie Gorey Pre School,ou=Sadadeen Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Central,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 8952 1186,['Preschool'],,,Braitling,(08) 8953 2912,,,,,,,,[]
163,Nawardekken Academy,Nawarddeken Academy - Kabulwarnamyo@nawarddeken.org.au  / Nawarddeken Academy Mamadawerre School - Mamadawerre@nawarddeken.org.au / Nawarddeken Academy Manmoyi School - Manmoyi@nawarddeken.org.au,"{'description': 'tba', 'state': 'NT', 'postCode': 'tba', 'displayAddress': 'tba, tba, NT'}","{'description': 'tba', 'state': 'NT', 'postCode': 'tba, tba', 'displayAddress': 'tba, tba, tba, NT'}","ou=Nawardekken Academy,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],tba,tba,,2018 Census,Nawarddeken Academy - Kabulwarnamyo@nawarddeken.org.au  / Nawarddeken Academy Mamadawerre School - Mamadawerre@nawarddeken.org.au / Nawarddeken Academy Manmoyi School - Manmoyi@nawarddeken.org.au,tba,False,False,False,False,False,False,tba,['tba'],,tba,tba,,tba,tba,tba,tba,tba,tba,,"[{'firstName': 'Olga', 'lastName': 'Scholes', 'position': 'Principal', 'email': 'Kabulwarnamyo@nawarddeken.org.au', 'phone': 'tba'}]"
164,Nemarluk School,,"{'description': '30 Styles St', 'state': 'NT', 'postCode': 'Alawa, 0810', 'displayAddress': '30 Styles St, Alawa, 0810, NT'}","{'description': 'PO Box 39729', 'state': 'NT', 'postCode': 'WINNELLIE, 0821', 'displayAddress': 'PO Box 39729, WINNELLIE, 0821, NT'}","ou=Nemarluk School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,Outer Regional,179,2021 Census - 1st week August,not available,Government,True,True,False,True,False,False,(08) 898 50400,['Specialist School'],,North,Johnston,,tba,Urban,130.874505,-12.379467,http://nemarlukschool.com.au,admin.nemarluk@education.nt.gov.au,,"[{'firstName': 'Virg', 'lastName': 'Hughes', 'position': 'Principal', 'email': 'virg.hughes@education.nt.gov.au', 'phone': '(08) 898 50400'}, {'firstName': 'Teri', 'lastName': 'Nicol', 'position': 'Business Manager', 'email': 'teri.nicol@education.nt.gov.au', 'phone': '(08) 898 50400'}]"
165,Neutral Junction School,,"{'description': 'Stuart Hwy', 'state': 'NT', 'postCode': 'Neutral Junction', 'displayAddress': 'Stuart Hwy, Neutral Junction, NT'}","{'description': 'Neutral Junction', 'state': 'NT', 'postCode': 'via Alice Springs, 0872', 'displayAddress': 'Neutral Junction, via Alice Springs, 0872, NT'}","ou=Neutral Junction School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Barkly,Very Remote,9,2021 Census - 1st week August,not available,Government,True,False,False,True,True,False,(08) 8956 9754,['Small School'],,Central Australia,Barkly,(08) 8956 9625,n/a,Remote Category 2,133.994783,-21.515756,n/a,ruth.rawnsley@education.nt.gov.au,,"[{'firstName': 'Julie', 'lastName': 'Marsh', 'position': 'Administration Manager', 'email': 'julie.marsh1@education.nt.gov.au', 'phone': '(08) 89 632065'}, {'firstName': 'Ruth', 'lastName': 'Rawnsley', 'position': 'Principal', 'email': 'ruth.rawnsley@education.nt.gov.au', 'phone': '(08) 8956 9754'}]"
166,Newcastle Waters School,,"{'description': '11 Drovers Dr', 'state': 'NT', 'postCode': 'Newcastle Waters', 'displayAddress': '11 Drovers Dr, Newcastle Waters, NT'}","{'description': 'Newcastle Waters Station', 'state': 'NT', 'postCode': 'via Elliott, 0862', 'displayAddress': 'Newcastle Waters Station, via Elliott, 0862, NT'}","ou=Newcastle Waters School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Barkly,Very Remote,27,2021 Census - 1st week August,not available,Government,True,True,False,True,True,False,(08) 8964 4566,['Small School'],,Central Australia,Barkly,(08) 8964 4637,n/a,Remote Category 1,133.41007,-17.37253,n/a,sabina.armstrong@education.nt.gov.au,,"[{'firstName': 'Sabina', 'lastName': 'Armstrong', 'position': 'Principal', 'email': 'sabina.armstrong@eduction.nt.gov.au', 'phone': '(08) 8964 4566'}, {'firstName': 'Cheyenne', 'lastName': 'Ellis', 'position': 'Administration Manager', 'email': 'Cheyenne.Ellis@education.nt.gov.au', 'phone': '(08) 896 32065'}]"
167,Nganambala School,,"{'description': 'n/a', 'state': 'NT', 'postCode': 'Emu Point', 'displayAddress': 'n/a, Emu Point, NT'}","{'description': 'PMB 218', 'state': 'NT', 'postCode': 'Via Winnellie, 0822', 'displayAddress': 'PMB 218, Via Winnellie, 0822, NT'}","ou=Nganambala School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Very Remote,26,2021 Census - 1st week August,n/a,Government,False,True,False,True,True,False,(08) 8978 2001,['Small School'],,North,Daly,(08) 8978 2008,tba,Remote Category 3,130.32521,-14.1701,n/a,samuel.sailor@education.nt.gov.au,,"[{'firstName': 'Carmel', 'lastName': 'Pedersen', 'position': 'Administration Manager', 'email': 'carmel.pedersen@education.nt.gov.au', 'phone': '(08) 8901 4913'}, {'firstName': 'Samuel', 'lastName': 'Sailor', 'position': 'Principal', 'email': 'samuel.sailor@education.nt.gov.au', 'phone': '(08) 8978 2001'}]"
168,Nganmarriyanga School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Palumpa', 'displayAddress': 'N/A, Palumpa, NT'}","{'description': 'PMB 85', 'state': 'NT', 'postCode': 'via WINNELLIE, 0822', 'displayAddress': 'PMB 85, via WINNELLIE, 0822, NT'}","ou=Nganmarriyanga School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['Palumpa'],Top End,Very Remote,143,2021 Census - 1st week August,not available,Government,True,True,True,True,True,True,(08) 8978 2380,['Remote School'],,North,Daly,(08) 8978 2575,tba,Remote Category 3,129.882,-14.3528,http://www.nganmarriyangaschool.com,jen.robson@education.nt.gov.au,,"[{'firstName': 'Jen', 'lastName': 'Robson', 'position': 'Principal', 'email': 'jen.robson@education.nt.gov.au', 'phone': '(08) 8978 2380'}]"
169,Ngukurr Pre School,,"{'description': 'Bawuda St', 'state': 'NT', 'postCode': 'Ngukurr', 'displayAddress': 'Bawuda St, Ngukurr, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Ngukurr Pre School,ou=Ngukurr School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Big Rivers,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 8975 4680,['Preschool'],,,Arnhem,(08) 8975 4681,,,,,,,,[]
170,Ngukurr School,,"{'description': 'Bawuda St', 'state': 'NT', 'postCode': 'Ngukurr, 0852', 'displayAddress': 'Bawuda St, Ngukurr, 0852, NT'}","{'description': 'PMB 138', 'state': 'NT', 'postCode': 'KATHERINE, 0851', 'displayAddress': 'PMB 138, KATHERINE, 0851, NT'}","ou=Ngukurr School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['Roper River'],Big Rivers,Very Remote,266,2021 Census - 1st week August,not available,Government,True,True,True,True,True,True,(08) 8975 4680,['Remote School'],,North,Arnhem,(08) 8975 4681,tba,Remote Category 3,134.73294,-14.7285,n/a,ngukurr.cec@education.nt.gov.au,,"[{'firstName': 'Gavin', 'lastName': 'Fraser', 'position': 'Principal', 'email': 'gavin.fraser@education.nt.gov.au', 'phone': '(08) 8975 4680'}]"
171,Nhulunbuy Christian School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Nhulunbuy', 'displayAddress': 'N/A, Nhulunbuy, NT'}","{'description': 'PO Box 621', 'state': 'NT', 'postCode': 'Nhulunbuy, 0881', 'displayAddress': 'PO Box 621, Nhulunbuy, 0881, NT'}","ou=Nhulunbuy Christian School,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],East Arnhem,Very Remote,170,2018 Census,not available,Christian,False,False,False,True,True,False,(08) 8965 2900,['Primary School'],,East Arnhem,Mulka,(08) 8987 2357,,,136.79099,-12.18901,http://www.ncc.nt.edu.au/,admin.ncc@ntschools.net,,"[{'firstName': 'tba', 'lastName': 'tba', 'position': 'Principal', 'email': 'tba', 'phone': '8965 2900'}]"
